num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
60,"[  47  672 1044 1232  650  480  995 1125  360  584  593 1249  307  837
 1001  774  822   15   86  197  749  231  491  753 1049  956  501  140
  429  221  349  418  820  889 1238  398  992  798   12  242  777  351
  314  578 1113  470  985  738 1252  638  445 1162  810  780  216 1260
  786  934 1028 1017]","[ 254  757 1247  162  695   19  175  438   13  992 1211  367  636  181
  583  157  164  147 1076  729  624  720  818  498  492  215  685 1133
  476  460  174  340 1235 1041 1011  531  253 1204  488 1263  503   51
  161  165  178  516  810  383  225  159  199   48  311  170  180  207
  423  200  171  187]","[  43  810 1284 1044  160   48  509 1272  651  308  357  946 1170 1252
  131  714  421  487  225  878  347  819  958  299  216 1191 1079 1010
 1011  418  140  992  462  396  293  445 1171  470 1148  867  309  127
  936  502  786 1214  350  998  645  569  718 1249  197  995  522  638
 1204 1162  398  685]",19,37,46,0.8662790697674418,0.7034883720930233,0.563953488372093,0.7441860465116279,131,87,84,87,0.5116279069767442,0.4941860465116279,0.36627906976744184,0.4883720930232558,115,7,6,6,0.5348837209302325,0.43023255813953487,0.3546511627906977,0.47674418604651164,17,2,2,2
61,"[ 718  114  216  692  197  160  351  798  221  578  915  350  444  242
  942  934  455  190  655 1273  645  760  889  780  307  738  703 1026
  381  470 1249  822 1028  155  917   47  524  577 1125  728  593  445
 1081  638  396  597  362 1178  749  231  985 1162  398  348  995  623
  774  992 1171  140  418]","[ 427  254 1247  162  339  695   19  175   13  992 1211  367  636  181
  583  157  164  147 1076  729  624  720  818  498  492  215  685 1133
  476  460  174  340 1235 1041 1011  531  253  430 1204 1263  488  503
   51  161  165  178  516  225  159  199  810   48  311  383  170  180
  207  423  200  171  187]","[1160  384 1113  513 1209  349  958  645 1272 1044  136 1128  196  335
 1025  168  998  651  810  954   46 1158  445  775  207 1178  620  347
  788  638   48  491  830 1149  462  421  522  190  524  313  221  225
 1252 1028  293 1156  593  786 1125 1016  867   43  177  470  780  733
  242 1162  331  985  995]",19,36,46,0.8662790697674418,0.6686046511627907,0.5,0.7674418604651163,131,88,84,88,0.5116279069767442,0.47093023255813954,0.38953488372093026,0.5406976744186046,115,7,7,6,0.5348837209302325,0.4127906976744186,0.32558139534883723,0.4418604651162791,17,2,2,2
62,"[ 396  140 1170  445  589  786  114  702   84  317 1007  775  360 1171
  752  405 1249  691  693  225   43  183  572  977  473  197  293  798
  111  958  359  398  256  419  788  313  440  577  221 1178  231  900
  915  348  889  455  597  190  822  381  749  728  685  593  242 1125
  524  753  780  733  307  995]","[ 553  254  375 1247  162  339  711  695   19  175  333   13  992  427
 1211  367  636  181  583  157  164  147 1076  729  624  653  492  215
  685 1133  476  460  174  340 1235 1041 1011  531  253 1204 1263  488
  503   51  161  165  178  516  383  225  159  423  199  810   48  311
  170  180  207  200  171  187]","[ 477  473  516  236  718   43  638  183  916 1267  196  424  867  288
  608  597  131  524  357 1249  569  832   48  692  384  483  375  746
  293  788 1128 1079  958 1113 1148  581  703  954  491  522  513  137
  986 1284 1162 1252 1178  470 1149  324 1016  207  177  313  239  398
 1028  149  350  733  995  780]",19,36,46,0.8662790697674418,0.7267441860465116,0.5116279069767442,0.6686046511627907,131,87,84,89,0.5116279069767442,0.5872093023255814,0.4069767441860465,0.45930232558139533,115,7,6,7,0.5348837209302325,0.5,0.3372093023255814,0.36046511627906974,17,2,2,2
63,"[ 117  444  306   84  837  362  238  313  780 1081  965  623  111  577
  788  822  314 1028   48  753 1001  360  216  221  627 1238  915  597
  904 1249  203  190  934  917  771 1171  381 1178   91  889  581  977
  470  578 1125  992  524  958  774  593 1049  522  749  357  728  418
  140  231  398  242  317  348  995]","[ 335  553 1247  162  339  695   19  175   13  992  653 1211  367  636
  181  583  157  164  147 1076  729  624  720  818  498  488  492  215
  685  288 1133  476  430  460  174  340 1235 1041 1011  531 1204 1263
  503   51  161  165  253  178  516  311  225  159  199  810   48  383
  170  180  207  423  200  171  187]","[ 136 1171  324  513  746 1204  796  313  421 1214  986  398  362  732
  221  491 1284 1128 1028  137  718  522 1025  325  992  702  445  703
  149  470 1252  915   46 1113   48  569 1249  127 1149  581  239  936
  958  190 1170 1079  780  177 1162 1016  593  462 1125  685  889  638
  207  524 1178  810  477  350  995]",19,36,46,0.8662790697674418,0.7558139534883721,0.5290697674418605,0.6686046511627907,131,87,84,89,0.5116279069767442,0.5348837209302325,0.4127906976744186,0.47674418604651164,115,7,7,7,0.5348837209302325,0.45348837209302323,0.38372093023255816,0.4127906976744186,17,2,2,2
64,"[1001  359  703  820  314  762 1170  689  756  912  753  491  351  822
  419  149  589  892  942  177  934  648  702  775  136  786 1162 1049
  958   46 1229  738  408  577  618 1079 1028  798  155  221  248  350
  915  985  470  224  733 1260  307  524 1178  381  190  780  242  889
  593 1125  303  331  231  348  749  995]","[ 553  503  254 1247  162  339  800  695   19  175  438   13  992  653
 1211  367  636  181  583  157  164  147 1076  729  624  720  818  498
  492  215  685 1133  430  476  460  174  340 1235 1041 1011  531  253
 1204  488 1263   51  161  165  178  516  311  383  225  159  199  810
   48  170  180  207  423  200  171  187]","[1289 1199  114 1104  937  958  313  325 1214  367  651  384  225 1128
  347  349  848  331 1284   48  216  832  502  685  417  718  375  221
 1016  569  190  177  936  524  581  398  127 1146  638  491  236 1125
  583  750  810  593  703 1249 1025  522  207  462  350  775 1079 1178
  421   46 1162  889  470 1028  477  995]",19,36,46,0.8662790697674418,0.6976744186046512,0.5116279069767442,0.7151162790697675,131,89,85,90,0.5116279069767442,0.4418604651162791,0.4011627906976744,0.5813953488372093,115,7,7,7,0.5348837209302325,0.37790697674418605,0.31976744186046513,0.5,17,2,2,2
65,"[ 384 1216  262  513  160  287  889  936  136  155  154  238  462  810
  227  645  177  114  455  303  692  900  524  405  577  993  589  193
  313  569 1081  572  408  718 1204  837  728  306  331 1149  655  207
 1260 1079  225   43  351 1162  638 1229  348 1016   21  995  362  749
  231  623  578  822 1171  774  140  992  418]","[ 813  899  553  254  757 1247  162  339  695   19  175   13  992  653
  711 1211  367  636  181  583  157  164  147 1076  729  624  720  818
  498  492  215 1133  476  685  460  174  340 1235 1041 1011  531  253
 1204 1263  488  503   51  161  165  178  516  383  225  159  199  810
   48  311  170  180  207  423  200  171  187]","[ 452  168  583  998  170  299  626  651  992  357  172  524 1125  750
  216   43  593  367  780  757  375   15  197  408  445 1191  878  693
  936  308  867  149 1079 1272  788 1044  440 1016 1171  347 1204  491
 1158  225  462  703  718  786  127  581 1178  810  569 1214  522  140
 1252 1249 1162 1028  470  685  398  638  350]",19,37,47,0.8662790697674418,0.7034883720930233,0.5872093023255814,0.7325581395348837,131,90,86,90,0.5116279069767442,0.5465116279069767,0.42441860465116277,0.45348837209302323,115,7,7,7,0.5348837209302325,0.48255813953488375,0.4127906976744186,0.45348837209302323,17,2,2,2
66,"[ 912  309  106  124  360  904  224  455 1004   14 1024  915  995  788
  965  221  256  396 1095  350 1079 1064  470  190  227  440  276  444
  958  830  692  645  693  985  745 1125 1204  408  231  114  593  357
  381  753  733  307  495  522  900  998 1229  597  760 1020  749 1178
  524  889  191  780  398 1249  348  685   63  477]","[ 899  553  254 1247  162  645  711  695   19  175  438  333   13  992
 1211  367  636  181  583  157  164  147 1076  729  624  720  818  541
  498  492  215  685 1133  476  430  460  174  340 1235 1041 1011  531
  253 1204 1263  488  503   51  161  165  178  516  383  225  159  199
  810   48  311  170  180  207  423  200  171  187]","[  34  177  852  136  916  813  605  954  867 1128  645  851  544  832
  293 1284  581  160  750  445 1149  207  313   46 1204  140  418  440
  915  349  196  810 1028  992  308  936  522  524 1171  375  703  347
 1109  718  190  569  491 1214   15 1016  197  780 1125  593  413 1249
 1252  127  470  462  733 1162  398  638  685  350]",19,37,47,0.8662790697674418,0.6627906976744186,0.5813953488372093,0.7383720930232558,131,92,87,91,0.5116279069767442,0.5116279069767442,0.45348837209302323,0.5174418604651163,115,7,7,7,0.5348837209302325,0.45348837209302323,0.36046511627906974,0.45348837209302323,17,2,2,2
67,"[ 967  581 1238  810  270  965  348  114  718  916  419  837  892 1016
  569  936   46  738 1128 1149 1180 1268  429  524  136   21 1232  248
 1001 1243   15  749  956  985  733 1026  375  760  231  421  627  445
  994   48  728  307  462  753  650   86 1162  798   12  351 1260  578
 1249  867  934  638 1252  522  780  491  470  398 1028]","[ 707 1267  177  335  813  531  553  632  254 1247  162  339  695   19
  175  333   13  992  427  636  181  583  157  164  147 1076  729  720
  818  492  498  215  685 1133  476  460  174  340 1235 1041 1011  253
 1204  488 1263 1211  503   51  367  161  165  178  516  383  225  159
  423  199  810   48  311  170  180  207  200  171  187]","[ 165  992  131   24  418  313 1032  203  486  396  452  746  732  196
  818  308 1011  916  309   69  314 1149 1148  127 1078  445  375  413
  780  207  963  645  830  685 1025   15 1113  502  470  350  878  491
  998 1214  867 1252  242   46  177  810  569  462  522  693  347 1016
  421  718  136  114  936 1204 1028  398 1249  638 1162]",19,37,47,0.8662790697674418,0.7383720930232558,0.5697674418604651,0.7034883720930233,131,91,85,90,0.5116279069767442,0.5,0.4011627906976744,0.4883720930232558,115,7,7,7,0.5348837209302325,0.436046511627907,0.37790697674418605,0.436046511627907,17,2,2,2
68,"[ 248 1059  347  934  889  440  915  749  262  396 1252 1026 1243  810
  956  942  581  798 1191  502  190 1001 1178  381  221 1214  745 1020
  231  936  593 1125  837  780  455  348  753  429  830  995  577  733
  718  444 1162  524  191  569  645   21  351  998  495  693  307  692
  760  256  114 1249 1260  900  638 1204  728  685  398  578]","[ 177  335  813  531  288  553 1247  162  339  695   19  175  438   13
  992  427  653 1211  367  636  181  583  157  164  147 1076  857  729
  624  720  818  498  492  215  685 1133  476  430  460  174  340 1235
 1041 1011 1204 1263  503   51  488  161  165  253  178  516  383  225
  159  199  810   48  311  170  180  207  423  200  171  187]","[ 732 1156  836  608 1007  733   30 1128 1028  217  221 1149    2  676
   43  795  813  349   69  357  796   14  832 1113  177  702  314  190
  848 1118  787  958  685 1025 1125 1214  963 1178  693  593  569 1204
  502 1252 1016  114  347  216  445  524  620   29   48  995   15  470
  421 1249  718  127  936  522  462  810  638  331  136 1162]",19,37,46,0.8662790697674418,0.6627906976744186,0.5523255813953488,0.7267441860465116,131,90,85,89,0.5116279069767442,0.46511627906976744,0.4186046511627907,0.5058139534883721,115,7,7,7,0.5348837209302325,0.3953488372093023,0.42441860465116277,0.4418604651162791,17,2,2,2
69,"[ 777  119  353  608 1249 1171  902 1162  581  408  207 1141  810  578
  584  306  470 1049  284  689  774  648  589 1214  307  434  317   48
  775  506  357 1017  522  992  753 1260  597  140  238  216  418  786
 1229  796 1170  359   63  314  702  934  577  242  445  958  728  477
 1178  221  915  749  524  190  889  381 1125  593  348  231  995]","[1127  685  948  707 1267  177  335  426  339  553 1247  162  711  695
   19  175  438  757   13  992 1211  367  636  181  583  157  164  147
 1076  729  624  720  818  541  282  492  215 1133  476  460  174  340
 1235 1041 1011 1204  488 1263  503   51  161  165  253  178  516  383
  225  159  199  810   48  311  170  180  207  423  200  171  187]","[ 638 1272 1148 1125  852  308  750  569  786  362  372  851  913 1204
   14  733  746  375  197 1156  810  347 1171  225 1028 1025   30  936
  626 1252  718  491  313 1214  196  867  813  445  483  413 1284   43
  349  140  216  170  992 1249 1109  137  324  513  780 1079  384  522
 1113  477  408 1162  954  986 1128  177  470 1016  239  207 1149]",19,37,47,0.8662790697674418,0.7674418604651163,0.5930232558139535,0.7151162790697675,131,88,85,90,0.5116279069767442,0.5523255813953488,0.43023255813953487,0.47093023255813954,115,7,7,7,0.5348837209302325,0.48255813953488375,0.4069767441860465,0.42441860465116277,17,2,2,2
70,"[ 349  606  810  956  916  771   21  837  353  581 1025  774  992 1024
  746 1149 1128  842   30  703  421  313  197  813  522  569  942  418
  140   86  733 1016  994  728  481  242  627  307  351  325 1162  224
  375  424  445  378  753  306  934 1079   63  638  578  350 1260 1252
  878  462  398   12  491  756  227  155  470  477 1229  408  780 1028]","[ 703  948  707 1267  177  335  813  531  288  553  565  254  757 1247
  162  339  695   19  175  438   13  992  711 1211  367  636  181  583
  157  164  147 1076  729  624  720  488  492  215  685 1133  476  460
  174  340 1235 1041 1011  253 1204 1263  503   51  161  165  178  516
  311  383  225  159  423  199  810   48  170  180  207  200  171  187]","[ 676  239 1044  220  746 1109  693  958  137  963  140  350  217   15
  524  513  486 1284  581 1171  398  169  384  733  445  483 1204   48
  867  502   30  718  207  421  314 1214  347  992 1028  913  418 1016
  470  786 1025  136  569  954  995 1249  620  375 1128 1113  986  177
  349  331  936   46  813 1149  780 1162  477  889 1252  462  810  638]",19,37,47,0.8662790697674418,0.686046511627907,0.5697674418604651,0.7034883720930233,131,90,84,89,0.5116279069767442,0.48255813953488375,0.42441860465116277,0.4476744186046512,115,8,7,7,0.5348837209302325,0.436046511627907,0.4011627906976744,0.4476744186046512,17,2,2,2
71,"[ 786  513  796 1017   42  685 1170  788  440 1010  403  481  581  350
  183 1260  197 1096 1171  324 1238  137  522  775  415  774  353  958
  627  578  992   12 1252   63  993  738  221  418  140  155 1113 1283
  733  798  915  689  753  177 1008  307  348   47  239 1016  306  477
  985  470  190  789  995  381 1178  303  934  524  331 1125  593  780
  889]","[ 533  948  707 1267  177  335  813  288  553  632  254 1247  162  339
  695   19  175   13  992  427  729  653 1211  367  636  181  583  157
  164  147 1076  624  720  818  498  492  215  685 1133  476  460  174
  340 1235 1041 1011  253  430 1204 1263  488  503   51  161  165  178
  516  383  225  159  199  810   48  311  170  180  207  423  200  171
  187]","[ 377  221  325  424  916 1148  597  216  347  963  396 1214   15  331
  958   69  183  357  362  954  569  445 1125  324 1025  470  718  491
  593  203  421  732  314 1252  477   48 1204  190 1128  810  878  137
  313  513  524  136  746  986 1079  889  936  239  375 1162  398  733
  418  140 1171  992   46 1113  638  207 1149  780 1249  995  177 1028
 1016]",19,38,48,0.8662790697674418,0.6337209302325582,0.5581395348837209,0.6976744186046512,131,88,85,89,0.5116279069767442,0.5348837209302325,0.4127906976744186,0.5174418604651163,115,8,7,7,0.5348837209302325,0.46511627906976744,0.42441860465116277,0.45930232558139533,17,2,2,2
72,"[  21  408  924  308  150  618  197  462  975  896  306  917  303 1260
  810  693 1016  227 1081  259 1113  648  728  581  995  501  331  762
  892  890   46 1079  114  638  569  528 1178  362  216  313 1162  912
  477 1229  578   42  934   47  429  248  481  177  703  470  786  942
  837  242  140  348  623  738  149  774  798  992  224  418 1171  985
  155  350]","[ 813 1127  948  707 1267  177  335  339  288  553  427  254 1247  162
  695   19  175  438  757   13  992 1211  367  636  181  583  157  164
  147 1076  729  624  720  818  541  492  215  685 1133  476  460  174
  340 1235 1041 1011  531  253  430 1204 1263  488  503   51  161  165
  178  383  225  159  199  810   48  516  311  170  180  207  423  200
  171  187]","[ 964  796 1191   30  384  954  516  795   15 1199  216  645  780  515
  813  221  732 1079  190  477  314 1113  324  998 1128 1025 1149  867
  703  581  593 1125  375  418  177  453  502  693 1066 1016 1284  992
 1171   46  421  522 1028  197  524 1178  347 1214  136  470  149  995
  127 1204  140  936  718  889  398  350  569 1249 1252  462  810  685
 1162  638]",19,38,49,0.8662790697674418,0.6744186046511628,0.563953488372093,0.686046511627907,131,90,85,90,0.5116279069767442,0.5290697674418605,0.42441860465116277,0.47093023255813954,115,8,7,8,0.5348837209302325,0.4418604651162791,0.4011627906976744,0.4127906976744186,17,2,2,2
73,"[ 975  956  762  569 1268  378  597  528   97  445  832  349   42   46
  398  576  307  347   12  491   86  627  293 1028  455  936 1026    2
  685   21  197  114  786  248  623  276   84  357  810  820  780  728
  837  965   47  216  904 1001 1260  650  351  362  429  718 1081 1171
 1249  638 1252  578  738  522  242  995  798  985  774 1162  934  992
  140  470  418]","[ 255  325  531 1127  533  948  707 1267  177  335  813  899  553  254
 1247  162  339  695   19  175  438  333   13  992 1211  367  636  181
  157  164  147 1076  729  624  720  818  541  492  215  685 1133  430
  476  460  174  340 1235 1041 1011  253 1204 1263  488  503   51  161
  165  178  516  383  225  159  199  810   48  311  170  180  207  423
  200  171  187]","[  15  376  324  239  308  487 1149  788  331  513 1011  172  241  939
  963  127  313 1113  867  168  367 1107  750  413  357  795  396  583
  792  417 1252  309  878 1148  196  985  325  581  491  421  502  780
  347  462  732  216  998  645  703 1016  177 1214  207 1109 1178  197
  136  936  149  522  569 1204 1028  718  638  810  470 1249  350 1162
  477  685  398]",19,39,49,0.8662790697674418,0.7151162790697675,0.563953488372093,0.75,131,90,84,90,0.5116279069767442,0.5058139534883721,0.37790697674418605,0.47674418604651164,115,7,7,8,0.5348837209302325,0.38953488372093026,0.38953488372093026,0.436046511627907,17,2,2,2
74,"[ 753  889  788  694 1243  396  956  347  957  470  963  160 1214  718
  170  912  262  502 1020 1081   21  317  749  362 1260  934  733  597
  194  638 1028  830 1059  569  645  231 1268  256  693  307  623 1252
  440  444  650  455  242  837  998  936  351  745  774  692  728 1095
  495 1001 1171  578  780  114  429  992  418  140  900  191 1204  522
  760  995 1249  398]","[ 888  939  209 1232  255 1127  430  948  707 1267  177  335  813  553
  254 1247  162  339  695   19  175   13  992  711 1211  367  636  181
  583  157  164  147 1076  857  729  624  720  818  492  215  685 1133
  476  460  174  340 1235 1041 1011  531  253 1204  488 1263  503   51
  161  165  178  516  810  383  225  159  199   48  311  170  180  207
  423  200  171  187]","[ 580  946  709   46   31   69  384  832  462  878   14  851  319 1120
  939  239 1214  417  376  114  336  750 1025  293  136  569  241  683
   15  347  445  685  367  788  762  792  718  732  936  583 1107  810
  780 1118  324  168  314 1252  916  421  795  216  172  867  197 1178
  703  160  581  350  362  491  638 1162  522 1249  995 1171  470  398
  140  992 1028  418]",19,39,48,0.8662790697674418,0.7441860465116279,0.622093023255814,0.7674418604651163,131,90,86,90,0.5116279069767442,0.5406976744186046,0.4418604651162791,0.5174418604651163,115,7,8,8,0.5348837209302325,0.4476744186046512,0.4186046511627907,0.47674418604651164,17,2,2,2
75,"[ 513  248  986 1204   42  314  589  638  168   21  270  583 1049  992
  569   40  786  238  127  783  702 1128  774  375   30  172  359 1162
  795  577  418  820  993   91 1180  904  429  822  757  810  327  444
 1170  958  942 1214  424 1149  578  915  357  455  798   43 1178  221
  360  216  771  242  837  190  524  381  648  728 1125  593  231  889
  749 1079  419  348  995]","[ 638  939  209 1232  255 1127  948  707 1267  177  335  813  426  288
  339  254  553 1247  162  711  695   19  175   13  992  729 1211  367
  636  181  583  157  164  147 1076  624  720  818  492  215  685 1133
  438  476  460  174  340 1235 1041 1011  531 1204 1263  488  253  503
   51  161  165  178  383  225  159  199  810   48  516  311  170  180
  207  423  200  171  187]","[ 775  750  710  792  255  241  196 1007  367  232 1056   15  172  220
  203 1044  168  583 1107  197  795  702 1113 1025  709  936 1171 1158
 1170 1148  434  293  796  522  398  703  569  992  421 1162 1252  867
  140  581  462  418  964  878   46  491 1249 1016  177  915  349  445
  788  733  221  190  958  314  524   48  638 1125  593  350  810  780
  470 1178  216 1028  995]",19,39,49,0.8662790697674418,0.7383720930232558,0.5755813953488372,0.75,131,90,88,90,0.5116279069767442,0.5,0.4418604651162791,0.5174418604651163,115,7,8,8,0.5348837209302325,0.4883720930232558,0.3953488372093023,0.47674418604651164,17,2,2,2
76,"[  86  703 1171 1008  691  140  977  975  942 1178  418  473  220  627
 1056 1283  581  398   42  501  408  756  486  777 1121  131 1252  293
  216  239  324  577   84  789  353 1238  314  154   47  481  578  183
  470   12  445  477  440  638  810  798  892 1049   46  248  786  900
  331  462  224  303  738  317  350  155 1162  934  985 1260  995  788
  242 1017  753  733  307  780]","[ 375  336  226  888  465  638  939  209 1232  255 1127  948  707 1267
  177  335  813  426  339  288  553  254 1247  162  695   19  175   13
  992 1211  367  636  181  157  164  147 1076  729  624  720  818  492
  215  685 1133  476  460  174  340 1235 1041 1011  253 1204  488 1263
  503   51  161  165  178  311  383  225  159  199  810   48  516  170
  180  207  423  200  171  187]","[ 171  293  691 1128 1025  795 1284  848  954 1023  896  424 1118  325
  324  810 1007  137  362 1079  375  916   69  237  746  986  513  120
  347  780  703  216  963  995  309 1191  239 1273  878 1011  140 1113
  136  331  992  491  418 1149 1214  445  502  313 1252  350 1162  718
  638 1171  396  936 1148  569  830  177  998  645  207  685 1016  114
  470 1204  522 1028 1249  398]",19,38,48,0.8662790697674418,0.6627906976744186,0.5930232558139535,0.6627906976744186,131,90,88,92,0.5116279069767442,0.48255813953488375,0.43023255813953487,0.5523255813953488,115,8,8,8,0.5348837209302325,0.37790697674418605,0.37209302325581395,0.45930232558139533,17,2,2,2
77,"[1028 1182 1210  648  912  672  967   85  830  224  595 1049 1162  889
  313  952   86  350  780  998  445  440  706  155 1004  324  688 1284
  327  137  746 1128  325  986 1096  462  291  954 1079  985  581  154
 1078  577 1113  415  789  638 1252  384 1008 1123  548  829  149  728
  306  993  578  513  239  589  177 1260 1149  618  353  348  934  408
  810  207 1016  477  231  749 1229]","[ 465  638  308  939  209 1232  255 1127  948  707 1267  177  335  813
  288  553  427  254 1247  162  339  695   19  175  438   13  992  685
 1211  367  636  181  583  157  164  147 1076  729  624  720  498  492
  215 1133  430  476  460  174  340 1235 1041 1011  531  253 1204  488
 1263  503   51  161  165  178  516  383  225  159  199  810   48  311
  170  180  207  423  200  171  187]","[ 313  362  216  635 1156 1284  462  775  702  718 1113  242  513  357
  183  473  239  501  796 1171  384  813  958  750 1162  569  331  986
  137  788  985   10  954  915  867  375  350  349  314  136 1249 1128
  190 1148   43  445  524  992 1214  581 1044  638 1016  140  491  487
  196  757 1272  593 1125  177  522  995 1149  221 1252  470  207 1178
  398  225  786 1158  733 1028  780]",19,38,48,0.8662790697674418,0.6686046511627907,0.6104651162790697,0.7034883720930233,131,91,85,90,0.5116279069767442,0.47093023255813954,0.45348837209302323,0.48255813953488375,115,8,8,8,0.5348837209302325,0.32558139534883723,0.42441860465116277,0.4011627906976744,17,2,2,2
