num_features,RF_indexes,SVM_indexes,RFSM_indexes,RF_time,SVM_time,RFSM_time,unreduced_score_forest,RF_scores_forest,SVM_scores_forest,RFSVM_scores_forest,unreduced_train_time_forest,RF_train_time_forest,SVM_train_time_forest,RFSVM_train_time_forest,unreduced_score_svc,RF_scores_svc,SVM_scores_svc,RFSVM_scores_svc,unreduced_train_time_svc,RF_train_time_svc,SVM_train_time_svc,RFSVM_train_time_svc,unreduced_score_knn,RF_scores_knn,SVM_scores_knn,RFSVM_scores_knn,unreduced_train_time_knn,RF_train_time_knn,SVM_train_time_knn,RFSVM_train_time_knn
13,[3168 3173 1263 2333 1232 2332 3169 3167 3171 1238 3170 2269 2268],[1617 2388  424 1008 2177 2114 2779 1256 3285 2381 1719  421 1039],[ 524 3788 2968  497  523 3167  910 2972 2342 1238 2206 2333 2332],153,929,3918,0.8916666666666667,0.30833333333333335,0.575,0.5666666666666667,792,101,99,100,0.9166666666666666,0.35833333333333334,0.5916666666666667,0.5,210,3,3,3,0.6,0.21666666666666667,0.36666666666666664,0.35833333333333334,21,1,1,1
15,"[ 910 2331  913 2335 2337 2270 1263 1264 2334 2269 2402 2268  914 2333
 2332]","[ 836 2381 1256  424 2114 2779 1207 2742 3285  103 1660  342 1719  421
 1039]","[2210  944 2211 1427 1525 3171 1178 2332 1646  552 1713 1301 1322 1074
 1238]",147,867,3688,0.8916666666666667,0.375,0.65,0.5416666666666666,792,102,99,100,0.9166666666666666,0.38333333333333336,0.6916666666666667,0.6,210,3,3,3,0.6,0.23333333333333334,0.36666666666666664,0.35,21,1,1,1
17,"[3167  530 2401 2267 3109  588 3170 3171 2269 3165 2331 1174 2333 3108
 2332 2268 1238]","[1323 2177 2114 2388  552 2779  103  421 2166 1011 1660 1189 3285 2742
 1719 2381 1039]","[3382 3261 3884 1427 3255 3197 1178 2561  701  443 1234  765 1212 2330
  572 1148  828]",148,849,3710,0.8916666666666667,0.38333333333333336,0.6166666666666667,0.6416666666666667,792,109,106,108,0.9166666666666666,0.425,0.7083333333333334,0.6583333333333333,210,3,3,3,0.6,0.30833333333333335,0.36666666666666664,0.325,21,1,1,1
19,"[3135 3134 4079 3070  524  522  523 2207 2402  521 2205 2334 2271 2332
 2206 2333 2268 2270 2269]","[2524  428 1264  321 2458 2114  103 2742 1011 2779 1777 2177 1189 2388
 3285  421 1719 2381 1039]","[ 565  560 1110 1262  585  942 2274 1102  587  491 1296 2403  562  848
 2401 2206  523  846 2333]",148,847,3602,0.8916666666666667,0.4666666666666667,0.625,0.5916666666666667,792,108,107,107,0.9166666666666666,0.575,0.7166666666666667,0.6583333333333333,210,3,3,3,0.6,0.25833333333333336,0.375,0.425,21,1,1,1
21,"[ 495 2337  496 1238  556 2206 3168 2334  497 3166 3167 3164 2331  494
 2267 2332 3165 2333 2270 2269 2268]","[1666  552 1660 1256 1323  428 2114 1222 2742 1110 2779 2177  103 1008
  421 3285 2381 1264 2388 1719 1039]","[3349  253  899 3071 1174 1570  963 3135 3199 3580  467 3643 3198  463
 2214 3451 3134 3287 2332 1238 3289]",149,846,3649,0.8916666666666667,0.35833333333333334,0.65,0.525,792,108,107,108,0.9166666666666666,0.38333333333333336,0.7333333333333333,0.5583333333333333,210,3,3,3,0.6,0.25833333333333336,0.375,0.38333333333333336,21,1,1,1
23,"[ 706 1548  770 1359 1363 1300 1549 1038 1558 1304 1167 1551 1484 1545
 1550 1609 1302 1301 1256 1237 1303 1258 1238]","[1890 1011  198  428 2524 1189 2388 1323 2224 2742 2177 1008 1511 2779
  103 1617 2114 1256 3285 1222 1719 2381 1039]","[2212  126  768 3398 3205 3390  495  847  537 3824 3725 3350  560 3761
 2214 3070 3356 1179 3324 3260  785  532 2204]",147,848,3794,0.8916666666666667,0.4666666666666667,0.725,0.7166666666666667,792,107,107,108,0.9166666666666666,0.5666666666666667,0.8166666666666667,0.825,210,3,4,4,0.6,0.2916666666666667,0.425,0.43333333333333335,21,1,1,1
25,"[2333  544 1378 1369 2213 1747 4073 1256 1684  523 2204  914 1433  529
 2206  528 2205 1178  530 2332 2331 2270 2267 2269 2268]","[ 675 1890 1264 1219 1110 1008 1256  428  836 1323 2458 1734 2388 1660
 2742 2114 2779  421 3285  103 2381 1719 1189 1011 1039]","[2109 3580 1788 1363   60  508 2617 3128 1234 2172 1405 3007 2943 1149
 3326 3948 3389 4010  956 3127 3199 3452 3324 1276 3388]",149,889,3810,0.8916666666666667,0.525,0.6333333333333333,0.5666666666666667,792,116,117,118,0.9166666666666666,0.625,0.7333333333333333,0.5583333333333333,210,4,4,4,0.6,0.39166666666666666,0.44166666666666665,0.31666666666666665,21,1,1,1
27,"[3160  530 2212 2400 2402 2331 2207 3168  914 2267 2204 2205 3169 3170
 2213 2334 3167 3166 2271 3164 2332 3165 2206 2333 2270 2268 2269]","[1222 1207 2301  424 1660  675 2458  699 2575 1830 1173 1323 2742 1008
  428 2779 2388 2114  421 3285 1189  103 1256 1264 1719 2381 1039]","[ 468 2206  978 3174 3164  460 2387 1238  593  848 2853 3967 2388  126
  383  956 3672 3389 3775 3580  528 3109 3772 3170  716 3169  910]",150,856,3767,0.8916666666666667,0.44166666666666665,0.6666666666666666,0.6833333333333333,792,117,117,117,0.9166666666666666,0.43333333333333335,0.7666666666666667,0.7333333333333333,210,4,4,4,0.6,0.25,0.4166666666666667,0.48333333333333334,21,1,1,1
29,"[1551 1021  914 2206 2207  909 3161 2272  892  764 2211  700 2273  910
 3160  828 1174 3165 1301 3166 2332 3167  956 2269 1237 2331 2267 1238
 2268]","[1734 2575  342 1454  424 1660 1866 2458  699 1264 1008  321 2524 1011
  428 1256 1323  421 1189 2779 2742 2388 1222 2381 3285  103 2114 1719
 1039]","[3135 3704 1297  563 1421 1174 1930 4012  320 1158 3576 2396 2394  958
  527  537 1549 3647 3824  468 1488  655 1293  520 2271  591  524  587
  521]",150,857,3654,0.8916666666666667,0.5,0.7583333333333333,0.7333333333333333,792,119,117,116,0.9166666666666666,0.475,0.8,0.8333333333333334,210,4,4,4,0.6,0.30833333333333335,0.4166666666666667,0.49166666666666664,21,1,1,1
31,"[3135 3350  622 1921  494 3199 1584 2402 1648 1038 2267 1582 2343 2337
 2279 1581 2334 2205  557  914 1256 2278 2274 2206  558 2332 2271 2333
 2268 2270 2269]","[ 198 1008 1110 2114 2301 1617 1011  547  675 1866 2575  414 2224  428
 1323 2606 2177 1660  552  687 2742 2779 1256  103  421 3285 2381  342
 1719 2388 1039]","[2561 1322 3356 2946 1984 1264 1304 2755 3193 1551  462 2338  257 3578
 2558 1297 3579  530 2369 3450  768  468 3007 3292 1651 2206 2813 1650
 3260 3070 2269]",146,787,3382,0.8916666666666667,0.6166666666666667,0.8,0.625,792,119,117,118,0.9166666666666666,0.65,0.85,0.6916666666666667,210,4,4,4,0.6,0.3333333333333333,0.375,0.3416666666666667,21,1,1,1
